Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
China Focus: China to formally conduct ID verification of online gamers to curb addiction,Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,,Game,https://www.reuters.com/article/technology/data-of-13-million-south-korean-online-game-subscribers-hacked-idUSTRE7AP09I/
Defiant Web users expose 'secret' DVD cipher,Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Intellectual Property,"Restriction on social media usage (content remove, ban, etc.)","Youtube, Digg",https://www.nytimes.com/2007/05/03/technology/03iht-code.1.5547177.html
Don't make posts: Court tells retired IAS officer,Influential Group->Influential Group,Influential Group,Influential Group,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Social Media,https://timesofindia.indiatimes.com/city/jaipur/dont-make-posts-court-tells-retired-ias-officer/articleshow/93041796.cms
"Engineer falls for 'like video &amp; earn' lure, loses `9 lakh",Regular Group->Regular Individual,Regular Group,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Online,https://www.telegraph.co.uk/world-news/2023/09/05/chip-challenge-spicy-dies-coffin-tiktok-massachusetts-boy/
Fake FB account: MCC commissioner approaches police,Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,,Facebook,https://timesofindia.indiatimes.com/city/mysuru/fake-fb-account-mcc-commissioner-approaches-police/articleshow/80998771.cms
Going online for gripes of wrath,Regular Group->Influential Group,Regular Group,Influential Group,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Online,https://www.theguardian.com/money/2005/jan/15/consumerissues.jobsandmoney
Google not responsible for 'internet graffiti' rules judge,Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Blog,https://www.telegraph.co.uk/technology/google/9118986/Google-not-responsible-for-internet-graffiti-rules-judge.html
Gujarat youth held in online job fraud,Regular Group->Regular Individual,Regular Group,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,"Fraud, Legal Action",Online,https://timesofindia.indiatimes.com/city/visakhapatnam/gujarat-youth-held-in-online-job-fraud/articleshow/38939407.cms
Heading Off New Account Fraud,Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Impersonation,,Online,https://www.nytimes.com/2008/05/24/business/yourmoney/24moneyside.html
"In 92 days, India lost Rs 128 crore in card, online fraud",Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Fraud,,Online,https://timesofindia.indiatimes.com/business/india-business/in-92-days-india-lost-rs-128-crore-in-card-online-fraud/articleshow/74571025.cms
Internet giants seek full trial over defamatory video,Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Youtube,https://www.wsj.com/articles/risks-of-being-rich-on-social-media-1387585352
Jiiva’s 'Kee' gets leaked online by the piracy website Tamilrockers,Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Intellectual Property,Protective Measures,Tamilrockers,https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/jiivas-kee-gets-leaked-online-by-the-piracy-website-tamilrockers/articleshow/69294029.cms
Le Vietnam renforce son arsenal r√©pressif sur Internet,Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legislation,Social Media,https://www.bloomberg.com/news/articles/2014-01-03/facebook-and-google-face-challenges-to-their-right-to-read-your-messages
Man creates fake FB profile to talk with estranged wife,Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Impersonation,Legal Action,Facebook,https://timesofindia.indiatimes.com/city/vadodara/man-creates-fake-fb-profile-to-talk-with-estranged-wife/articleshow/76717927.cms
Metro Briefing New York: Brooklyn: Online Crime Hot Line,Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Fraud,Online Dating,https://www.nytimes.com/2005/08/12/nyregion/metro-briefing-new-york-brooklyn-online-crime-hot-line.html
More than 380 victims lost at least $15m to Internet love scams since start of 2022: Police,Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Social Media,https://www.straitstimes.com/singapore/courts-crime/more-than-380-victims-lost-at-least-15m-to-internet-love-scams-since-start-of-2022-police
"Mumbai: Fake facebook friend dupes Vasai man of Rs 80,000",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Facebook,https://www.daijiworld.com/news/newsDisplay?newsID=788168
Mumbai: Senior citizen duped in online wine fraud,Influential Individual->Regular Individual,Influential Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,,Online,https://timesofindia.indiatimes.com/city/mumbai/mumbai-senior-citizen-duped-in-online-wine-fraud/articleshow/82034580.cms
"One man, 8 profiles and an elaborate hoax",Regular Individual->Regular Group,Regular Individual,Regular Group,Deceptive & Fraudulent Behavior_Impersonation,Legal Action,Facebook,https://www.hindustantimes.com/india-news/one-man-8-profiles-and-an-elaborate-hoax/story-2vWx4Ot7lqrsasXK2UylCI.html
Online offers that are too good to be true,Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Fraud,,eBay,https://www.theguardian.com/technology/2008/jul/04/ebay.internet
"Online Sharing Evolves for Warner Bros.; Peer-to-Peer Technology, Long Scorned for Pirating, Is Tapped for Sales of Movies, Shows",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Intellectual Property,,Online,https://www.wsj.com/articles/SB114713643969447342
Punjabi-British FB friendship logs out with Rs 9 lakh fraud,Regular Individual->Regular Group,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,,Facebook,https://timesofindia.indiatimes.com/city/chandigarh/punjabi-british-fb-friendship-logs-out-with-rs-9-lakh-fraud/articleshow/47486311.cms
Reader scammed by fake Guardian webpage; Copycat Guardian site used by loan company to boost its credibility,Influential Individual->Regular Group,Influential Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Guardian,https://www.theguardian.com/money/2014/jul/19/fake-guardian-webpages-boost-credibility
Surfers count the cost of internet hijacking,Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Fraud,"Fraud, Protective Measures",Online,https://www.irishtimes.com/business/surfers-count-the-cost-of-internet-hijacking-1.459762
Two held for selling counterfeit versions of branded clothes online,Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Social Media,https://www.hindustantimes.com/cities/gurugram-news/two-held-for-selling-counterfeit-versions-of-branded-clothes-online-101614967141856.html
Vedhika clarifies about the fake Twitter handle of THIS blockbuster director,Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,Public Message from/to Social Media,Twitter,https://www.reuters.com/article/technology/financial-market-website-zero-hedge-knocked-off-twitter-over-coronavirus-story-idUSKBN1ZX06V/
"Web Photos That Reveal Secrets, Like Where You Live",Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Cybersecurity,,Online,https://www.nytimes.com/2010/08/12/technology/personaltech/12basics.html
Why Reviews On the Web Say Bad Things,Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Defamation,,Online Shopping,https://timesofindia.indiatimes.com/city/chandigarh/sikh-federation-writes-to-facebook-to-stop-derogatory-depiction-comments-of-sikh-gurus/articleshow/21124514.cms
World Briefing | Asia: China: Police Seize Fake Tamiflu Sold On Internet,Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Fraud,,Internet,https://www.nytimes.com/2006/08/31/health/world/world-briefing-asia-china-police-seize-fake-tamiflu-sold-on.html
