Article Information,Link
"('YouTube videos ‘all day long’: Employee misconduct cost California $427,000, audit finds', 'los angeles times', '2019-05-08')",https://www.latimes.com/local/lanow/la-me-ln-california-state-auditor-misconduct-report-20190508-story.html
"('Professor's 'Comfort-Women' Lecture Gets Him Indicted—And Sparks Debate on Academic Freedom; Lew Seok-choon's comments about World War II-era sex slaves led to defamation charges and put him at the center of controversy over classroom speech', 'wall street journal', '2021-08-21')",https://www.wsj.com/world/asia/professors-comfort-women-lecture-gets-him-indictedand-sparks-debate-on-academic-freedom-11629543600
"('Cash for kills: why are people paying for coaches to get better at video games?', 'the guardian', '2021-08-24')",https://www.theguardian.com/games/2021/aug/24/cash-for-kills-why-are-people-paying-for-coaches-to-get-better-at-video-games
"('Need to step up enforcement action on e-commerce platforms', 'the straits times', '2021-02-20')",https://forums.hardwarezone.com.sg/threads/forum-need-to-step-up-enforcement-action-on-e-commerce-platforms-to-ensure-safety-co.6469215/
"('Glitches at Slack, Peloton Prompt Disruptions for Users; Messaging platform and fitness-equipment maker said issues were resolved several hours after glitches were initially disclosed', 'wall street journal', '2022-02-22')",https://www.wsj.com/business/slack-is-down-for-some-users-11645546740
"('It's the wrong time for a Facebook surveillance device', 'chicago tribune', '2018-10-10')",https://www.chicagotribune.com/2018/10/09/its-the-wrong-time-for-a-facebook-surveillance-device/
"('Suicide victim accuses wife, her paramour in video clip', 'the times of india', '2018-02-26')",https://timesofindia.indiatimes.com/city/rajkot/suicide-victim-accuses-wife-her-lover-in-video/articleshow/63071929.cms
"('Is Instagram ruining travel? The short answer is it’s a bit hysterical', 'the guardian', '2019-01-09')",https://www.theguardian.com/commentisfree/2019/jan/10/is-instagram-ruining-travel-the-short-answer-is-its-a-bit-hysterical
"('Naperville's Sandra Bland recorded the Texas traffic stop that preceded her death. The video just surfaced.', 'chicago tribune', '2019-05-07')",https://www.chicagotribune.com/2019/05/07/napervilles-sandra-bland-recorded-the-texas-traffic-stop-that-preceded-her-death-the-video-just-surfaced/
"('The fridge, the dead mouse and the perils of YouTube tutorials', 'the guardian', '2019-08-15')",https://www.theguardian.com/commentisfree/2019/aug/15/the-fridge-the-dead-mouse-and-the-perils-of-youtube-tutorials
"('Media must stop quibbling about ‘white supremacy’ vs. ‘white nationalism’', 'the washington post', '2019-08-09')",https://www.washingtonpost.com/opinions/2019/08/09/media-must-stop-quibbling-about-white-racism-terms-they-dont-understand/
"(''Navya' fame Somya Seth hints at husband's criminal record, advices followers to be cautious', 'the times of india', '2019-04-12')",https://timesofindia.indiatimes.com/tv/news/hindi/navya-fame-somya-seth-hints-at-husbands-criminal-record-advices-followers-to-be-cautious/articleshow/68832612.cms
"('Spalletti to Icardi: 'Some problems aren't resolved via chat, videos and 'likes''', 'chicago tribune', '2019-02-20')",https://www.rfi.fr/en/contenu/20190220-likes-and-chat-dont-solve-problems-spalletti-tells-icardi
"('Shame On Investors Who Let Tweets Fool Them Twice; Eager to deliver good news, Mr. Trump consistently overpromises.', 'wall street journal', '2019-01-04')",https://www.wsj.com/articles/shame-on-investors-who-let-tweets-fool-them-twice-11546641950
"(Kushner Says Probes Into Russian Meddling More Damaging Than Interference Itself; President Trump's son-in-law says 'a couple Facebook ads' by Russia were less harmful than 'the investigations and all of the speculation', wall street journal, 2019-04-23)",https://www.wsj.com/articles/kushner-says-probes-into-russian-meddling-more-damaging-than-interference-itself-11556039505
"('Criticized actor Rain leaves drunken Instagram message', 'the korea times', '2019-02-25')",https://www.koreatimes.co.kr/entertainment/films/20190225/criticized-actor-rain-leaves-drunken-instagram-message
"('Commentary: Targeted in El Paso, vilified by Trump. Why the Latino culture vacuum is dangerous', 'los angeles times', '2019-08-15')",https://www.latimes.com/entertainment-arts/story/2019-08-15/el-paso-mass-shooting-trump-vilified-latinos-culture-vacuum
"('BUSINESS; $600 million is stolen in hack of online game; Attack on 'Axie Infinity' blockchain shows that so-called bridges aren't secure.', 'los angeles times', '2022-03-30')",https://www.latimes.com/business/technology/story/2022-03-29/hackers-make-off-with-600-million-in-crypto-gaming-heist
"('Freddie Starr, his hamster and the dawn of fake news', 'the daily telegraph', '2019-05-11')",https://www.telegraph.co.uk/tv/2019/05/10/freddie-starr-ate-hamster-inside-story-started-fake-news-revolution/
"('A High-Tech Schooling Guarantees Nothing; I feel I have no recourse against districts and schools that want to put screens in front of my kids at school and then send them home for more screen time where homework is done on YouTube.', 'wall street journal', '2019-09-10')",https://www.wsj.com/articles/a-high-tech-schooling-guarantees-nothing-11568138835
"('Vijay Sethupathi's fight with his son goes viral', 'the times of india', '2019-03-19')",https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/vijay-sethupathis-fight-with-his-son-goes-viral/articleshow/68464342.cms
"(''Tiananmen story intended to bring out China's brutality'', 'the times of india', '2020-06-05')",https://timesofindia.indiatimes.com/india/tiananmen-focus-to-reveal-how-china-treats-its-own/articleshow/76205494.cms
"('Victims, graphic videos lay bare the horror of Ed Buck's deadly 'party and play' fetish', 'los angeles times', '2021-07-22')",https://www.latimes.com/california/story/2021-07-22/ed-buck-methamphetamine-fatal-overdose-trial
"('Social Humour: Memes explode as Uttarakhand CM goofs up again, claims US enslaved India for 200 years', 'the times of india', '2021-03-23')",https://timesofindia.indiatimes.com/india/social-humour-memes-explode-as-uttarakhand-cm-goofs-up-again-claims-us-enslaved-india-for-200-years/articleshow/81630202.cms
"('News Media Can’t Shake ‘Missing White Woman Syndrome,’ Critics Say', 'new york times', '2021-09-22')",https://www.nytimes.com/2021/09/22/business/media/gabby-petito-missing-white-woman-syndrome.html
"(TikTok star in burqa cleans out Rs 5 lakh from friend's flat in Mumbai, arrested, the times of india, 2021-01-07)",https://timesofindia.indiatimes.com/city/mumbai/tiktok-star-in-burqa-cleans-out-rs-5-lakh-from-friends-flat-in-mumbai-arrested/articleshow/80126459.cms
"('Unseen footage of MS Dhoni losing his cool, screaming at his CSK teammate during IPL 2023 match breaks internet', 'the hindustan times', '2023-04-25')",https://www.hindustantimes.com/cricket/watch-unseen-footage-of-ms-dhoni-losing-his-cool-screaming-at-his-csk-teammate-during-ipl-2023-match-breaks-internet-101682419830884.html
"('Aamras, butter and cheese dosa horrifies the Internet. Watch', 'the hindustan times', '2023-04-06')",https://www.hindustantimes.com/trending/aamras-butter-and-cheese-dosa-horrifies-the-internet-watch-101680777789081.html
"(Cow vigilante Monu Manesar famous on YouTube; has silver play button | 5 points, the hindustan times, 2023-02-17)",https://www.hindustantimes.com/india-news/monu-manesar-accused-of-bhiwani-deaths-loved-on-youtube-has-silver-play-button-101676635562808.html
"(Filipino journalist arrested on cyber libel charges posts bail, dpa international (english), 2019-02-14)",https://www.theguardian.com/world/2019/feb/13/philippines-journalists-decry-intimidation-as-website-editor-arrested
"('After video goes viral, two who harassed woman on WEH held', 'the times of india', '2021-01-18')",https://timesofindia.indiatimes.com/city/lucknow/two-held-for-harassing-woman-after-video-goes-viral/articleshow/120529790.cms
"('After fight video, IndiGo air hostess gives mid-air medical aid, praised | VIDEO', 'the hindustan times', '2022-12-29')",https://www.hindustantimes.com/india-news/after-fight-video-indigo-air-hostess-provides-mid-air-medical-aid-wins-praise-101672303798867.html
